,MVO-LW,Equal-Weighted,MVO-Naive,LW Subset,RMT Relaxed (1.2) - Gamma 0.1,RMT Base (1.0) - Gamma 0.1,RMT High (1.4) - Gamma 0.1
Mean Return,0.0003839814911606997,0.0002925250739392069,0.000219462609548694,0.000326065286733193,0.00047814467663734024,0.0004781568621321821,0.00047815269940378437
Annual Return,0.09676333577249632,0.07371631863268013,0.05530457760627089,0.08216845225676464,0.12049245851260974,0.12049552925730989,0.12049448024975366
Geometric Return,0.09545821605688753,0.06726191390791003,0.055835834508719095,0.08003725623007729,0.11569760042977495,0.11569907602479823,0.11570078676780704
Min Return,-0.06037878736689082,-0.07529849358371431,-0.03421053265055842,-0.059288965996575085,-0.08553675156396663,-0.08554771677896242,-0.08552870076535904
Max Drawdown (%),-23.16947875472505,-32.63302360345822,-7.086702233274245,-23.525500929825014,-25.30236819121383,-25.30499609896294,-25.3005145675666
Max 10-Day Drawdown (%),-15.304182824283883,-22.89212329723406,-5.595470459513585,-18.30766052402457,-22.165482476396576,-22.167394202502972,-22.164380086329334
Sharpe Ratio,"Ticker
^IRX    0.807745
dtype: float64","Ticker
^IRX    0.474644
dtype: float64","Ticker
^IRX    0.997401
dtype: float64","Ticker
^IRX    0.695982
dtype: float64","Ticker
^IRX    0.649314
dtype: float64","Ticker
^IRX    0.649283
dtype: float64","Ticker
^IRX    0.649352
dtype: float64"
Volatility,0.10559635803126899,0.13114635654925744,0.04395036015253211,0.10158316768502304,0.14795569765046446,0.147967387141896,0.14795013905269885
Skewness,-0.017409750784319063,-0.23697908814226598,-0.30705160198286907,-0.13141158017397309,-0.7078888357441757,-0.707973297256483,-0.7077916162968798
Kurtosis,12.576290044215208,15.128749106595617,20.321640533352948,12.753140937104133,13.12709186656965,13.12810679659292,13.12578674939446
VaR (%),-0.9727838446346346,-1.1227108161094135,-0.3763463349239357,-0.9087419527576677,-1.3197693101740526,-1.3198894805766268,-1.3197008925568763
CVaR (%),-1.5777420070009478,-1.9921307611414485,-0.6073437572695233,-1.513272125497047,-2.1708125497772146,-2.17098824050834,-2.1707269690297184
